web-scraper-order,web-scraper-start-url,shelfmark,shelfmark-href,all_link,all_link-href,h3_date,h3_startdate,h3_enddate,sub-all_link,sub-all_link-href
"1642687087-2089","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Laws","https://handrit.is/en/manuscript/list/keyword/log","1485-1499","1485","1499","","https://handrit.is/en/manuscript/imaging/da/AM02-0302"
"1642687091-2168","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","","https://handrit.is/en/manuscript/list/keyword/kvad","1485-1499","1485","1499","","https://handrit.is/en/manuscript/view/is/AM02-0114"
"1642687061-1668","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Upplandslagens kyrkobalk","https://handrit.is/en/manuscript/view/AM04-0046#section_4","1485-1499","1485","1499","High Quality","https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/294/HIGH_QUALITY_DISPLAY"
"1642686941-444","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","Browse","https://handrit.is/en/manuscript/browse/uniform","1818","1818","null","Að gjalda Torfalögin","https://handrit.is/en/manuscript/list/uniform?v=A%C3%B0+gjalda+Torfal%C3%B6gin"
"1642687035-1307","https://handrit.is/en/search/results/2YLppK","AM 353 4to","https://handrit.is/en/manuscript/view/AM04-0353","","https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM04-0353","1700-1715","1700","1715","","https://handrit.is/da/manuscript/view.outerlayout.language/en?t:ac=en/AM04-0353"
"1642686971-1003","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","View Images","https://handrit.is/en/manuscript/imaging/en/AM02-0201","1600-1650","1600","1650","AM 201 fol.","https://handrit.is/en/manuscript/view/en/AM02-0201"
"1642686966-922","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","Katalog over Den Arnamagnæanske Håndskriftsamling","https://handrit.is/en/bibliography/view/KKKat","1600-1650","1600","1650","309","https://handrit.is/en/bibliography/view.outputassociatedmanuscripts.associated_manuscripts.pager/309?t:ac=KKKat"
"1642686947-810","https://handrit.is/en/search/results/2YLppK","Rask 115","https://handrit.is/en/manuscript/view/Rask115","handrit.is","https://handrit.is/en/","1818","1818","null","View All","https://handrit.is/en/manuscript/list/collection/StE"
"1642686953-829","https://handrit.is/en/search/results/2YLppK","AM 201 fol.","https://handrit.is/en/manuscript/view/AM02-0201","»","https://handrit.is/en/manuscript/view/en/AM02-0202-g","1600-1650","1600","1650","","https://handrit.is/en/manuscript/list/keyword/sagnt"
"1642687052-1436","https://handrit.is/en/search/results/2YLppK","AM 46 4to","https://handrit.is/en/manuscript/view/AM04-0046","Nine Articles passed by King Gustav and the Cou...","https://handrit.is/en/manuscript/view/AM04-0046#section_8","1485-1499","1485","1499","No Title","https://handrit.is/en/manuscript/view/AM04-0046#section_1"
