source_label,source,target_label,target
"Canon law",https://handrit.is/en/manuscript/list/keyword/klog,,https://handrit.is/en/manuscript/view/da/AM04-0058
,https://handrit.is/en/manuscript/list/keyword/sagnfr,,https://handrit.is/en/manuscript/imaging/is/AM02-0207a
,https://handrit.is/en/manuscript/list/keyword/kvad,,https://handrit.is/en/manuscript/view/is/AM02-0218
"Upplandslagens kyrkobalk",https://handrit.is/en/manuscript/view/AM04-0046#section_4,Standard,https://myndir.handrit.is/file/Handrit.is/AM%2046%204to/294/WEB_DISPLAY
Browse,https://handrit.is/en/manuscript/browse/uniform,"Ajax saga keisarasonar (8)",https://handrit.is/en/manuscript/list/uniform?v=Ajax+saga+keisarasonar
,https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM02-0201,"Om handrit.org",https://handrit.is/da/about
«,https://handrit.is/en/manuscript/view/en/AM04-0352,Statistics,https://handrit.is/en/statistics
"Canon law",https://handrit.is/en/manuscript/list/keyword/klog,,https://handrit.is/en/manuscript/view/da/AM04-0039
"No Title",https://handrit.is/en/manuscript/view/AM04-0046#section_1,"Click for larger",https://handrit.is/en/manuscript/imaging/en/AM04-0046/1v#content
Search,https://handrit.is/en/search/regular,"Go to Power Search",https://handrit.is/en/search/power
Browse,https://handrit.is/en/manuscript/browse/uniform,"Af einsetumanni ok engli",https://handrit.is/en/manuscript/list/uniform?v=Af+einsetumanni+ok+engli
,https://handrit.is/en/manuscript/list/keyword/kvad,,https://handrit.is/en/manuscript/imaging/en/AM02-007
,https://handrit.is/en/manuscript/list/keyword/sagnfr,"AM 95 fol.",https://handrit.is/en/manuscript/view/AM02-0095
handrit.is,https://handrit.is/en/,"AM 225 fol.",https://handrit.is/en/manuscript/view/AM02-225
handrit.is,https://handrit.is/en/,"Icelandic ballad",https://handrit.is/en/search/results/wPYjV7
"Om Edens Betydning",https://handrit.is/en/manuscript/view/AM04-0046#section_2,"Nine Articles passed by King Gustav and the Cou...",https://handrit.is/en/manuscript/view/AM04-0046#section_8
,https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM08-265,"Send Feedback on Manuscript",https://handrit.is/da/popup/feedback/en/AM08-265
Browse,https://handrit.is/en/manuscript/browse/uniform,"Af nísku útreið",https://handrit.is/en/manuscript/list/uniform?v=Af+n%C3%ADsku+%C3%BAtrei%C3%B0
»,https://handrit.is/en/manuscript/view/en/AM04-0354,Kålund,https://handrit.is/en/biography/view/KriKaa001
,https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM02-0201,,https://handrit.is/da/manuscript/view.outerlayout.language/en?t:ac=en/AM02-0201
"More Details",https://handrit.is/en/biography/view/ArnMag001,,https://handrit.is/en/manuscript/view/da/AM02-0001-d-beta
Laws,https://handrit.is/en/manuscript/list/keyword/log,,https://handrit.is/en/manuscript/view/da/AM02-0305
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM02-0201,,https://handrit.is/is/admin
Browse,https://handrit.is/en/manuscript/browse/uniform,"Aví mig Drottinn dýri",https://handrit.is/en/manuscript/list/uniform?v=Av%C3%AD+mig+Drottinn+d%C3%BDri
handrit.is,https://handrit.is/en/,"AM 674 a 4to",https://handrit.is/en/manuscript/view/AM04-0674-a
Browse,https://handrit.is/en/manuscript/browse/uniform,"Arons ríma hersis (2)",https://handrit.is/en/manuscript/list/uniform?v=Arons+r%C3%ADma+hersis
handrit.is,https://handrit.is/en/,"View All",https://handrit.is/en/manuscript/list/collection/Kr
Browse,https://handrit.is/en/manuscript/browse/uniform,"Arild og Ånden",https://handrit.is/en/manuscript/list/uniform?v=Arild+og+%C3%85nden
,https://handrit.is/en/manuscript/list/keyword/kvad,,https://handrit.is/en/manuscript/imaging/is/AM02-0241a-II
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_5,"Click for larger",https://handrit.is/en/manuscript/imaging/en/AM04-0046/148v-163v#content
"On Severe Offences",https://handrit.is/en/manuscript/view/AM04-0046#section_6,(147v-148v),https://handrit.is/en/manuscript/imaging/en/AM04-0046/147v-148v#content
"Om Edens Betydning",https://handrit.is/en/manuscript/view/AM04-0046#section_2,About,https://handrit.is/en/about
"No Title",https://handrit.is/en/manuscript/view/AM02-0201#section_1,,https://handrit.is/en/admin
"No Title",https://handrit.is/en/manuscript/view/AM02-0201#section_1,,https://handrit.is/en/manuscript/view.outerlayout.language/da?t:ac=en/AM02-0201
,https://handrit.is/en/manuscript/list/keyword/kvad,3,https://handrit.is/en/manuscript/list.browser.pager/3?t:ac=keyword/kvad
Browse,https://handrit.is/en/manuscript/browse/uniform,"Ambáles rímur",https://handrit.is/en/manuscript/list/uniform?v=Amb%C3%A1les+r%C3%ADmur
"Canon law",https://handrit.is/en/manuscript/list/keyword/klog,,https://handrit.is/en/manuscript/imaging/en/AM02-0162-L
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_7,"Click for larger",https://handrit.is/en/manuscript/imaging/en/AM04-0046/27r-147v#content
Browse,https://handrit.is/en/manuscript/browse/uniform,"Administrator Ari",https://handrit.is/en/manuscript/list/uniform?v=Administrator+Ari
»,https://handrit.is/en/manuscript/view/en/AM02-0202-g,"Silvia Hufnagel",https://handrit.is/en/biography/view/SilHuf001
Browse,https://handrit.is/en/manuscript/browse/uniform,"Akuryrkja í Noregi",https://handrit.is/en/manuscript/list/uniform?v=Akuryrkja+%C3%AD+Noregi
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_7,»,https://handrit.is/en/manuscript/view/en/AM04-0047
"No Title",https://handrit.is/en/manuscript/view/AM02-0200#section_1,"Download as XML",https://handrit.is/en/manuscript/xml/AM02-0200-en.xml
"Canon law",https://handrit.is/en/manuscript/list/keyword/klog,Home,https://handrit.is/en/
,https://handrit.is/en/manuscript/list/keyword/sagnfr,handrit.is,https://handrit.is/en/
"King Magnus Eriksson's National Law (for Sweden)",https://handrit.is/en/manuscript/view/AM04-0046#section_5,,https://handrit.is/en/manuscript/list/keyword/kvad
,https://handrit.is/en/manuscript/view.outerlayout.language/is?t:ac=en/AM08-265,"Um handrit.is",https://handrit.is/is/about
"Upplandslagens kyrkobalk",https://handrit.is/en/manuscript/view/AM04-0046#section_4,,https://handrit.is/en/admin
"Om Edens Betydning",https://handrit.is/en/manuscript/view/AM04-0046#section_2,"Sweriges Gamla Lagar 11",https://handrit.is/en/bibliography/view/CorpJur11
"Om Edens Betydning",https://handrit.is/en/manuscript/view/AM04-0046#section_2,"Click for larger",https://handrit.is/en/manuscript/imaging/en/AM04-0046/2r-6v#content
Browse,https://handrit.is/en/manuscript/browse/uniform,Arinbjarnarkviðu,https://handrit.is/en/manuscript/list/uniform?v=Arinbjarnarkvi%C3%B0u
«,https://handrit.is/en/manuscript/view/en/AM02-0200,"Katalog over Den Arnamagnæanske Håndskriftsamling",https://handrit.is/en/bibliography/view/KKKat
"No Title",https://handrit.is/en/manuscript/view/Rask115#section_1,Statistics,https://handrit.is/en/statistics
Browse,https://handrit.is/en/manuscript/browse/uniform,Home,https://handrit.is/en/
